6
23.7393
1
5
6
-81.8837,116.234,0,0,0,-0.672752,0.739868
-81.5035,115.538,0,0,0,0,0
-81.0912,114.87,0,0,0,0,0
-80.6248,114.252,0,0,0,0,0
-80.0943,113.694,0,0,0,0,0
-79.504,113.197,0,0,0,0,0
-78.8687,112.753,0,0,0,0,0
-78.2078,112.351,0,0,0,0,0
-77.5398,111.978,0,0,0,0,0
-76.8797,111.623,0,0,0,0,0
-76.2376,111.279,0,0,0,0,0
-75.6165,110.94,0,0,0,0,0
-75.0107,110.597,0,0,0,0,0
-74.4093,110.243,0,0,0,0,0
-73.8013,109.869,0,0,0,0,0
-73.1814,109.467,0,0,0,0,0
-72.5553,109.032,0,0,0,0,0
-71.9359,108.557,0,0,0,0,0
-71.3395,108.028,0,0,0,0,0
-70.7804,107.435,0,0,0,0,0
-70.2599,106.798,0,0,0,0,0
-69.7879,106.138,0,0,0,0,0
-69.3947,105.474,0,0,0,0,0
-69.1248,104.819,0,0,0,0,0
-68.9286,104.171,0,0,0,0,0
-68.775,103.533,0,0,0,0,0
-68.6656,102.916,0,0,0,0,0
-68.6558,102.36,0,0,0,0,0
-68.678,101.824,0,0,0,0,0
-68.7102,101.293,0,0,0,0,0
-68.7456,100.765,0,0,0,0,0
-68.7818,100.237,0,0,0,0,0
-68.8184,99.7093,0,0,0,0,0
-68.855,99.1816,0,0,0,0,0
-68.8916,98.6539,0,0,0,0,0
